"","q16","reltrad","income"
"9480"," Protestant "," Historically Black Protestant Churches ","Don't know/Refused (VOL.)"
"9481"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"9482"," Roman Catholic "," Catholic ","100 to under $150,000"
"9483"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"9484"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"9485"," Agnostic (not sure if there is a God) "," Unaffiliated ","Don't know/Refused (VOL.)"
"9486"," Christian (VOL) "," Historically Black Protestant Churches ","Don't know/Refused (VOL.)"
"9487"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"9488"," Roman Catholic "," Catholic ","50 to under $75,000"
"9489"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"9490"," Agnostic (not sure if there is a God) "," Unaffiliated ","75 to under $100,000"
"9491"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"9492"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"9493"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"9494"," Roman Catholic "," Catholic ","75 to under $100,000"
"9495"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"9496"," Protestant "," Evangelical Protestant Churches ","$150,000 or more"
"9497"," Nothing in particular "," Unaffiliated ","100 to under $150,000"
"9498"," Roman Catholic "," Catholic ","50 to under $75,000"
"9499"," Roman Catholic "," Catholic ","50 to under $75,000"
"9500"," Nothing in particular "," Unaffiliated ","10 to under $20,000"
"9501"," Nothing in particular "," Unaffiliated ","40 to under $50,000"
"9502"," Roman Catholic "," Catholic ","20 to under $30,000"
"9503"," Jewish (Judaism) "," Jewish ","$150,000 or more"
"9504"," Roman Catholic "," Catholic ","50 to under $75,000"
"9505"," Atheist (do not believe in God) "," Unaffiliated ","10 to under $20,000"
"9506"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"9507"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"9508"," Roman Catholic "," Catholic ","$150,000 or more"
"9509"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"9510"," Roman Catholic "," Catholic ","$150,000 or more"
"9511"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"9512"," Protestant "," Mainline Protestant Churches ","Less than $10,000"
"9513"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"9514"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"9515"," Roman Catholic "," Catholic ","40 to under $50,000"
"9516"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"9517"," Hindu "," Hindu ","Don't know/Refused (VOL.)"
"9518"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"9519"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"9520"," Protestant "," Historically Black Protestant Churches ","20 to under $30,000"
"9521"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"9522"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"9523"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"9524"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"9525"," Protestant "," Evangelical Protestant Churches ","$150,000 or more"
"9526"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"9527"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"9528"," Roman Catholic "," Catholic ","100 to under $150,000"
"9529"," Roman Catholic "," Catholic ","100 to under $150,000"
"9530"," Jewish (Judaism) "," Jewish ","$150,000 or more"
"9531"," Spiritual but not religious (VOL) "," Other Faiths ","40 to under $50,000"
"9532"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"9533"," Atheist (do not believe in God) "," Unaffiliated ","50 to under $75,000"
"9534"," Protestant "," Historically Black Protestant Churches ","Less than $10,000"
"9535"," Christian Scientists (VOL) "," Other Christian ","$150,000 or more"
"9536"," Nothing in particular "," Unaffiliated ","30 to under $40,000"
"9537"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"9538"," Atheist (do not believe in God) "," Unaffiliated ","$150,000 or more"
"9539"," Roman Catholic "," Catholic ","40 to under $50,000"
"9540"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"9541"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"9542"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"9543"," Nothing in particular "," Unaffiliated ","10 to under $20,000"
"9544"," Roman Catholic "," Catholic ","50 to under $75,000"
"9545"," Roman Catholic "," Catholic ","75 to under $100,000"
"9546"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"9547"," Protestant "," Historically Black Protestant Churches ","30 to under $40,000"
"9548"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"9549"," Agnostic (not sure if there is a God) "," Unaffiliated ","Don't know/Refused (VOL.)"
"9550"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"9551"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"9552"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"9553"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"9554"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"9555"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"9556"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"9557"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"9558"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"9559"," Nothing in particular "," Unaffiliated ","100 to under $150,000"
"9560"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"9561"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"9562"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"9563"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"9564"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"9565"," Agnostic (not sure if there is a God) "," Unaffiliated ","Don't know/Refused (VOL.)"
"9566"," Roman Catholic "," Catholic ","$150,000 or more"
"9567"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"9568"," Roman Catholic "," Catholic ","100 to under $150,000"
"9569"," Protestant "," Historically Black Protestant Churches ","30 to under $40,000"
"9570"," Atheist (do not believe in God) "," Unaffiliated ","100 to under $150,000"
"9571"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"9572"," Roman Catholic "," Catholic ","50 to under $75,000"
"9573"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"9574"," Roman Catholic "," Catholic ","100 to under $150,000"
"9575"," Orthodox (Greek, Russian, or some other orthodox church) "," Orthodox ","30 to under $40,000"
"9576"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"9577"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","40 to under $50,000"
"9578"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"9579"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"9580"," Nothing in particular "," Unaffiliated ","10 to under $20,000"
"9581"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"9582"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"9583"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"9584"," Roman Catholic "," Catholic ","50 to under $75,000"
"9585"," Protestant "," Evangelical Protestant Churches ","$150,000 or more"
"9586"," Agnostic (not sure if there is a God) "," Unaffiliated ","75 to under $100,000"
"9587"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"9588"," Roman Catholic "," Catholic ","$150,000 or more"
"9589"," Roman Catholic "," Catholic ","10 to under $20,000"
"9590"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"9591"," Roman Catholic "," Catholic ","30 to under $40,000"
"9592"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"9593"," Agnostic (not sure if there is a God) "," Unaffiliated ","30 to under $40,000"
"9594"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"9595"," Nothing in particular "," Unaffiliated ","40 to under $50,000"
"9596"," Jewish (Judaism) "," Jewish ","Less than $10,000"
"9597"," Nothing in particular "," Unaffiliated ","10 to under $20,000"
"9598"," Protestant "," Historically Black Protestant Churches ","50 to under $75,000"
"9599"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"9600"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"9601"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"9602"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"9603"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"9604"," Christian (VOL) "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"9605"," Protestant "," Historically Black Protestant Churches ","40 to under $50,000"
"9606"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","75 to under $100,000"
"9607"," Roman Catholic "," Catholic ","50 to under $75,000"
"9608"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"9609"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"9610"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"9611"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"9612"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","30 to under $40,000"
"9613"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"9614"," Protestant "," Historically Black Protestant Churches ","30 to under $40,000"
"9615"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"9616"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"9617"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"9618"," Atheist (do not believe in God) "," Unaffiliated ","75 to under $100,000"
"9619"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"9620"," Agnostic (not sure if there is a God) "," Unaffiliated ","100 to under $150,000"
"9621"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"9622"," Roman Catholic "," Catholic ","$150,000 or more"
"9623"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"9624"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"9625"," Protestant "," Historically Black Protestant Churches ","100 to under $150,000"
"9626"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"9627"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"9628"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","20 to under $30,000"
"9629"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"9630"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"9631"," Roman Catholic "," Catholic ","20 to under $30,000"
"9632"," Protestant "," Historically Black Protestant Churches ","Don't know/Refused (VOL.)"
"9633"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"9634"," Nothing in particular "," Unaffiliated ","30 to under $40,000"
"9635"," Christian (VOL) "," Mainline Protestant Churches ","50 to under $75,000"
"9636"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"9637"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"9638"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"9639"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"9640"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"9641"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"9642"," Atheist (do not believe in God) "," Unaffiliated ","100 to under $150,000"
"9643"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"9644"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"9645"," Nothing in particular "," Unaffiliated ","40 to under $50,000"
"9646"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"9647"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"9648"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"9649"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"9650"," Pagan (VOL) "," Other Faiths ","75 to under $100,000"
"9651"," Native American Religions (VOL) "," Other Faiths ","75 to under $100,000"
"9652"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"9653"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"9654"," Roman Catholic "," Catholic ","100 to under $150,000"
"9655"," Roman Catholic "," Catholic ","30 to under $40,000"
"9656"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"9657"," Roman Catholic "," Catholic ","20 to under $30,000"
"9658"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"9659"," Protestant "," Historically Black Protestant Churches ","30 to under $40,000"
"9660"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"9661"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"9662"," Protestant "," Historically Black Protestant Churches ","30 to under $40,000"
"9663"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"9664"," Jewish (Judaism) "," Jewish ","Don't know/Refused (VOL.)"
"9665"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"9666"," Roman Catholic "," Catholic ","20 to under $30,000"
"9667"," Roman Catholic "," Catholic ","100 to under $150,000"
"9668"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"9669"," Roman Catholic "," Catholic ","75 to under $100,000"
"9670"," Protestant "," Historically Black Protestant Churches ","Don't know/Refused (VOL.)"
"9671"," Roman Catholic "," Catholic ","10 to under $20,000"
"9672"," Protestant "," Historically Black Protestant Churches ","10 to under $20,000"
"9673"," Don’t know/Refused (VOL) "," Don’t know/refused (no information on religious affiliation) ","Don't know/Refused (VOL.)"
"9674"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"9675"," Atheist (do not believe in God) "," Unaffiliated ","40 to under $50,000"
"9676"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"9677"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"9678"," Nothing in particular "," Unaffiliated ","40 to under $50,000"
"9679"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"9680"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"9681"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"9682"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"9683"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"9684"," Nothing in particular "," Unaffiliated ","20 to under $30,000"
"9685"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"9686"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"9687"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"9688"," Roman Catholic "," Catholic ","20 to under $30,000"
"9689"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"9690"," Christian (VOL) "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"9691"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"9692"," Atheist (do not believe in God) "," Unaffiliated ","Don't know/Refused (VOL.)"
"9693"," Roman Catholic "," Catholic ","75 to under $100,000"
"9694"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"9695"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"9696"," Roman Catholic "," Catholic ","50 to under $75,000"
"9697"," Protestant "," Historically Black Protestant Churches ","Don't know/Refused (VOL.)"
"9698"," Agnostic (not sure if there is a God) "," Unaffiliated ","50 to under $75,000"
"9699"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"9700"," Protestant "," Historically Black Protestant Churches ","$150,000 or more"
"9701"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"9702"," Protestant "," Mainline Protestant Churches ","Less than $10,000"
"9703"," Roman Catholic "," Catholic ","10 to under $20,000"
"9704"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"9705"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"9706"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"9707"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"9708"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"9709"," Roman Catholic "," Catholic ","50 to under $75,000"
"9710"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"9711"," Nothing in particular "," Unaffiliated ","100 to under $150,000"
"9712"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"9713"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"9714"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"9715"," Nothing in particular "," Unaffiliated ","20 to under $30,000"
"9716"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"9717"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"9718"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"9719"," Messianic Jews (Jews for Jesus) (VOL) "," Other Christian ","10 to under $20,000"
"9720"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"9721"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"9722"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"9723"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"9724"," Protestant "," Historically Black Protestant Churches ","50 to under $75,000"
"9725"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"9726"," Nothing in particular "," Unaffiliated ","30 to under $40,000"
"9727"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"9728"," Nothing in particular "," Unaffiliated ","10 to under $20,000"
"9729"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"9730"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"9731"," Christian (VOL) "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"9732"," Roman Catholic "," Catholic ","Less than $10,000"
"9733"," Roman Catholic "," Catholic ","50 to under $75,000"
"9734"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"9735"," Atheist (do not believe in God) "," Unaffiliated ","30 to under $40,000"
"9736"," Don’t know/Refused (VOL) "," Don’t know/refused (no information on religious affiliation) ","20 to under $30,000"
"9737"," Christian (VOL) "," Mainline Protestant Churches ","50 to under $75,000"
"9738"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"9739"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"9740"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"9741"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"9742"," Roman Catholic "," Catholic ","75 to under $100,000"
"9743"," Roman Catholic "," Catholic ","50 to under $75,000"
"9744"," Roman Catholic "," Catholic ","30 to under $40,000"
"9745"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"9746"," Roman Catholic "," Catholic ","20 to under $30,000"
"9747"," Roman Catholic "," Catholic ","50 to under $75,000"
"9748"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"9749"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"9750"," Nothing in particular "," Unaffiliated ","10 to under $20,000"
"9751"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"9752"," Roman Catholic "," Catholic ","50 to under $75,000"
"9753"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"9754"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"9755"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"9756"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"9757"," Christian (VOL) "," Evangelical Protestant Churches ","20 to under $30,000"
"9758"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"9759"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"9760"," Agnostic (not sure if there is a God) "," Unaffiliated ","20 to under $30,000"
"9761"," Christian Scientists (VOL) "," Other Christian ","20 to under $30,000"
"9762"," Roman Catholic "," Catholic ","50 to under $75,000"
"9763"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"9764"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"9765"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"9766"," Nothing in particular "," Unaffiliated ","10 to under $20,000"
"9767"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"9768"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"9769"," Don’t know/Refused (VOL) "," Don’t know/refused (no information on religious affiliation) ","Don't know/Refused (VOL.)"
"9770"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"9771"," Nothing in particular "," Unaffiliated ","$150,000 or more"
"9772"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"9773"," Roman Catholic "," Catholic ","$150,000 or more"
"9774"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"9775"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"9776"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"9777"," Protestant "," Historically Black Protestant Churches ","40 to under $50,000"
"9778"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"9779"," Roman Catholic "," Catholic ","100 to under $150,000"
"9780"," Protestant "," Evangelical Protestant Churches ","$150,000 or more"
"9781"," Roman Catholic "," Catholic ","40 to under $50,000"
"9782"," Protestant "," Historically Black Protestant Churches ","Don't know/Refused (VOL.)"
"9783"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"9784"," Nothing in particular "," Unaffiliated ","$150,000 or more"
"9785"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"9786"," Roman Catholic "," Catholic ","100 to under $150,000"
"9787"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"9788"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"9789"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"9790"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"9791"," Protestant "," Historically Black Protestant Churches ","40 to under $50,000"
"9792"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"9793"," Roman Catholic "," Catholic ","30 to under $40,000"
"9794"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"9795"," Roman Catholic "," Catholic ","100 to under $150,000"
"9796"," Christian (VOL) "," Mainline Protestant Churches ","40 to under $50,000"
"9797"," Roman Catholic "," Catholic ","100 to under $150,000"
"9798"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"9799"," Roman Catholic "," Catholic ","50 to under $75,000"
"9800"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"9801"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"9802"," Christian (VOL) "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"9803"," Nothing in particular "," Unaffiliated ","$150,000 or more"
"9804"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"9805"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"9806"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"9807"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"9808"," Roman Catholic "," Catholic ","10 to under $20,000"
"9809"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"9810"," Christian (VOL) "," Mainline Protestant Churches ","100 to under $150,000"
"9811"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"9812"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"9813"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"9814"," Nothing in particular "," Unaffiliated ","100 to under $150,000"
"9815"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"9816"," Roman Catholic "," Catholic ","30 to under $40,000"
"9817"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"9818"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"9819"," Roman Catholic "," Catholic ","40 to under $50,000"
"9820"," Don’t know/Refused (VOL) "," Don’t know/refused (no information on religious affiliation) ","Less than $10,000"
"9821"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"9822"," Roman Catholic "," Catholic ","$150,000 or more"
"9823"," Nothing in particular "," Unaffiliated ","20 to under $30,000"
"9824"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"9825"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"9826"," Roman Catholic "," Catholic ","100 to under $150,000"
"9827"," Buddhist "," Buddhist ","100 to under $150,000"
"9828"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"9829"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"9830"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"9831"," Nothing in particular "," Unaffiliated ","20 to under $30,000"
"9832"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"9833"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"9834"," Nothing in particular "," Unaffiliated ","20 to under $30,000"
"9835"," Nothing in particular "," Unaffiliated ","100 to under $150,000"
"9836"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"9837"," Roman Catholic "," Catholic ","75 to under $100,000"
"9838"," Atheist (do not believe in God) "," Unaffiliated ","30 to under $40,000"
"9839"," Roman Catholic "," Catholic ","Less than $10,000"
"9840"," Agnostic (not sure if there is a God) "," Unaffiliated ","30 to under $40,000"
"9841"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"9842"," Mixed non-Christians (VOL) "," Other World Religions ","50 to under $75,000"
"9843"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"9844"," Pagan (VOL) "," Other Faiths ","Less than $10,000"
"9845"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"9846"," Protestant "," Historically Black Protestant Churches ","10 to under $20,000"
"9847"," Unitarian (Universalist) (VOL) "," Other Faiths ","100 to under $150,000"
"9848"," Roman Catholic "," Catholic ","50 to under $75,000"
"9849"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"9850"," Buddhist "," Buddhist ","Less than $10,000"
"9851"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"9852"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"9853"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"9854"," Protestant "," Historically Black Protestant Churches ","20 to under $30,000"
"9855"," Protestant "," Historically Black Protestant Churches ","30 to under $40,000"
"9856"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"9857"," Protestant "," Mainline Protestant Churches ","100 to under $150,000"
"9858"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"9859"," Nothing in particular "," Unaffiliated ","100 to under $150,000"
"9860"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"9861"," Roman Catholic "," Catholic ","50 to under $75,000"
"9862"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"9863"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"9864"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"9865"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"9866"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"9867"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"9868"," Roman Catholic "," Catholic ","100 to under $150,000"
"9869"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"9870"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"9871"," Atheist (do not believe in God) "," Unaffiliated ","20 to under $30,000"
"9872"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"9873"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"9874"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"9875"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"9876"," Roman Catholic "," Catholic ","100 to under $150,000"
